index,author,date,genre,lhs,match,rhs,gerund,verb_type,func,det,generation,gender,age
773589,PW3,1673,prose,"of Ranteriſm , &c. and what elſe may keep them _ their Snare , ſtop their Enquiery , and render the ",_iving, Eternal Truth of God odious in their Sight ; _etter were it for ſuch that they had never been born ,NG,light,object,the,G3,M,29
775228,PW3,1673,prose,"o Denyal of the Scriptures , it holds e contra that our not denying of the Scriptures , includes an ",_owning," of the Scriptures , or elſe his Argument proves nothing ; for if it ſtands not upon the Rule of Con",NG,lex,object,a,G3,M,29
263243,PW3,1688,letters,"ſt either in Word or Deed , tending any way to the invalidating of it , be eſteemed and declared an ",Ʋndermining," of the Fundamental Conſtitution of our Government , and accordingly to be puniſhable with the utmoſ",NG,lex,object,a,G3,M,44
774649,PW3,1673,prose," , Can Outward Blood Cleanſe ? Can Outward Water waſh the Soul ? He would make him to deny Chriſt's ",ſacrificing," of himſelf upon the Croſs to have any Influence towards the Remitting of the Guilt of Sin paſt , wh",NG,lex,object,poss,G3,M,29
774660,PW3,1673,prose, the Croſs of Wood ; wherefore to make the Anſwer deny Remiſſion of Sins to be declared by Chriſt's ,ſacrificing, of his Body upon the Croſs ( which was no part of the Queſtion to be anſwered ) is like all the reſ,NG,lex,by,poss,G3,M,29
827107,PW3,1668,prose," through many Generations , received for Doctrine the Precepts of Men , who for much ſpeaking , and ",ſacrificing," of your own Inventions , expect to be heard , whilſt in the luſtful , wanton , ignorant , and killi",NG,lex,for,bare,G3,M,24
547978,PW3,1685,prose," to this ſo much craved , as well as needed Toleration , I meet with two Objections of weight , the ",ſalving, of which will make way for it in this Kingdom . And the firſt is a Disbelief of the Poſſibility of ,NG,lex,subject,the,G3,M,41
1048044,PW3,1682,prose,alth rather than Subſiſtence ; and the End of Cloaths is the leaſt Reaſon of their Uſe . Nor is the ,ſatisfying," of our Appetite our End in eating , ſo much as the pleaſing of our Pallate . The like may alſo be ſ",NG,lex,scomp,the,G3,M,38
211647,PW3,1677,prose," in Magna Charta there is expreſs mention made by the King of this end of his Grants , ( viz. ) the ",ſaving," of his Soul : Now that they were deluded in theſe Donations , we need go no farther than the univer",NG,lex,other,the,G3,M,33
653101,PW3,1668,prose," being reviled , they bleſs ; perſecuted , they ſuffer ; defamed , they intreat ; accounted the off-",ſcouring," of all things unto this day , and made a ſpectacle unto the World , Angele , and Men . ) Sect. 7 . ",NG,lex,object,the,G3,M,24
197916,PW3,1675,prose,"r : For beſides a Decay of Trade , &c. this driving away of Flocks of Sheep , and Herds of Cattel , ",ſeizing," of Barns full of Corn , breaking open of Doors and Chiſts , taking away the beſt Goods thoſe Inſtru",NG,lex,other,dem,G3,M,31
508740,PW3,1672,prose," the Scriptures of Truth any ſuch Expreſſion ; 'Tis true , David in anſwer to thoſe who counted his ",ſerving," of God a Vile Thing , ſaid then , He would _e Vile ſtill : but that is no Warrant . And God's Judgm",NG,lex,object,poss,G3,M,28
80373,PW3,1673,prose,"ficient , why do you uſe any other ? What ever it is upon our Principles , you muſt confeſs it be a ",ſetting, of your Poſtes by God's Poſtes ; your Invention by his Inſtitution . It is meer Deceit to attempt t,NG,lex,scomp,a,G3,M,29
984291,MI3,1674,letters,ms us that great care was taken by the Apoſtles and their Succeſſors in the primitive times for the ,ſettling," of Schools of Learning in all places , where Churches were planted , that ſo the Truth might be pro",NG,lex,for,the,G3,M,35
